공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url,재학생충원율_기준시점,학생정원_raw29,학생모집정지인원_raw29,재학생수(학부)_raw29,정원내재학생수_raw29,정원내재학생충원율,입학정원(학부)_raw27,신입생충원율(학부)_raw27,신입생경쟁률(학부)_raw27,재학생수(학부)_raw31,정원내재학생수_raw31,정원외재학생수_raw31,재학생충원율_원자료파일
2026,0000406,0000406,충북도립대학교,본교,전문대학,전문대학,공립,충북,기존,400,700,2.8,97.3,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000536,0000536,충북보건과학대학교,본교,전문대학,전문대학,사립,충북,기존,977,3098,4.3,94.2,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000547,0000547,충청대학교,본교,전문대학,전문대학,사립,충북,기존,1354,3148,3.3,90.2,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0002817,0002817,치유상담대학원대학교,본교,대학원대학,전문대학원,사립,서울,기존,71,118,-,76.1,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000184,0000184,칼빈대학교,본교,대학,대학교,사립,경기,기존,90,2159,3.2,100.0,2025,599.7,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,360.0,0.0,2159.0,305.0,84.7,90.0,100.0,3.2,2159.0,305.0,1854.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000185,0000185,탐라대학교,본교,대학,대학교,사립,제주,폐교,0,0,0,0.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0003183,0003183,태재대학교,본교,대학,사이버대학(대학),사립,서울,신설,100,46,1.9,0.0,2025,15.3,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,300.0,0.0,46.0,34.0,11.3,100.0,0.0,1.9,46.0,34.0,12.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000186,0000186,평택대학교,본교,대학,대학교,사립,경기,기존,833,3006,8.8,100.0,2025,93.3,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,3248.0,25.0,3006.0,2771.0,86.0,833.0,100.0,8.8,3006.0,2771.0,235.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000188,0000188,포항공과대학교,본교,대학,대학교,사립,경북,기존,320,1477,9.5,98.8,2025,115.4,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1280.0,0.0,1477.0,1332.0,104.1,320.0,98.8,9.5,1477.0,1332.0,145.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0002658,0002658,포항대학교,본교,전문대학,전문대학,사립,경북,기존,695,1423,2.3,81.2,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000037,0000037,한경국립대학교,본교,대학,대학교,국립,경기,기존,1271,5428,7.2,100.0,2025,110.5,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,4911.0,0.0,5428.0,4887.0,99.5,1271.0,100.0,7.2,5428.0,4887.0,541.0,academyinfo_2025_29_student_fill_school.xlsx
