공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url
2026,0002654,0002654,인하공업전문대학,본교,전문대학,전문대학,사립,인천,기존,2543,7068,8.7,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000169,0000169,인하대학교,본교,대학,대학교,사립,인천,기존,3605,17830,13.6,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000170,0000170,장로회신학대학교,본교,대학,대학교,사립,서울,기존,150,572,3.4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000527,0000527,장안대학교,본교,전문대학,전문대학,사립,경기,기존,1670,2666,5.3,65.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000455,0000455,재능대학교,본교,전문대학,전문대학,사립,인천,기존,1279,2801,6,88.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000528,0000528,적십자간호대학,본교,전문대학,전문대학,사립,서울,폐교,0,0,0,0.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000529,0000529,전남과학대학교,본교,전문대학,전문대학,사립,전남,기존,1064,2971,1.8,84.3,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000023,0000024,전남대학교,제2캠퍼스,대학,대학교,국립,전남,기존,812,2808,4.3,99.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000023,0000023,전남대학교,본교,대학,대학교,국립,광주,기존,3673,16391,7.4,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000562,0000562,전남도립대학교,본교,전문대학,전문대학,공립,전남,폐교,410,885,2.3,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000531,0000531,전북과학대학교,본교,전문대학,전문대학,사립,전북,기존,592,1600,2.6,96.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000025,0000025,전북대학교,본교,대학,대학교,국립,전북,기존,4077,17841,7.4,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000258,0000258,전주교육대학교,본교,대학,교육대학,국립,전북,기존,285,1019,4.8,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000437,0000437,전주기전대학,본교,전문대학,전문대학,사립,전북,기존,772,1787,2.1,97.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000171,0000171,전주대학교,본교,대학,대학교,사립,전북,기존,2512,10147,4.7,99.6,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
