기준년도,학교명,본분교명,설립유형,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2008,평택대학교,본교,사립,226.9,4687.5
2008,포항공과대학교,본교,사립,24721.4,546373.4
2008,한국국제대학교,본교,사립,274.6,8743.5
2008,한국기술교육대학교,본교,사립,9941.2,73382.0
2008,한국산업기술대학교,본교,사립,5403.1,149587.3
2008,한국성서대학교,본교,사립,568.4,483.9
2008,한국외국어대학교,본교,사립,4070.4,4855.7
2008,한국항공대학교,본교,사립,12513.8,97501.7
2008,한남대학교,본교,사립,5302.0,25551.4
2008,한동대학교,본교,사립,632.5,27345.5
2008,한라대학교,본교,사립,195.7,9692.3
2008,한려대학교(산업대),본교,사립,0.0,2403.5
2008,한림대학교,본교,사립,1324.1,20553.5
2008,한민학교,본교,사립,0.0,0.0
2008,한북대학교,본교,사립,0.0,442.9
2008,한서대학교,본교,사립,2069.2,20848.4
2008,한성대학교,본교,사립,3929.8,14479.9
2008,한세대학교,본교,사립,38.8,7907.3
2008,한신대학교,본교,사립,3522.9,8489.9
2008,한양대학교,본교,사립,2153.3,89413.0
2008,한양사이버대학교,본교,사립,2550.0,11553.8
2008,한일장신대학교,본교,사립,327.6,863.4
2008,한중대학교,본교,사립,0.0,3961.2
2008,협성대학교,본교,사립,27.8,10312.7
2008,호남대학교,본교,사립,268.1,6901.9
2008,호남신학대학교,본교,사립,3153.8,384.6
2008,호서대학교,본교,사립,10834.0,25668.3
2008,호원대학교,본교,사립,1714.3,639.0
2008,홍익대학교,본교,사립,5020.2,21599.1
2008,화신사이버대학교,본교,사립,0.0,0.0
2009,가천의과학대학교,본교,사립,0.0,34018.6
2009,가톨릭대학교,본교,사립,8571.4,37092.2
2009,감리교신학대학교,본교,사립,0.0,757.4
2009,강남대학교,본교,사립,1823.1,9693.0
2009,강서대학교,본교,사립,926.8,0.0
2009,건국대학교,본교,사립,10019.7,82071.2
2009,건동대학교,본교,사립,0.0,2218.2
2009,건양대학교,본교,사립,2118.4,40705.1
2009,경기대학교,본교,사립,4763.5,32212.0
2009,경남대학교,본교,사립,3368.0,29087.8
2009,경동대학교,본교,사립,140.8,3178.9
2009,경북외국어대학교,본교,사립,0.0,0.0
2009,경성대학교,본교,사립,3708.6,22734.7
2009,경운대학교,본교,사립,716.3,1250.5
2009,경원대학교,본교,사립,7084.5,42317.0
2009,경일대학교,본교,사립,1846.6,10376.2
2009,경주대학교,본교,사립,0.0,13559.1
2009,경희대학교,본교,사립,15706.4,47877.8
2009,경희사이버대학교,본교,사립,1109.5,5860.3
2009,계명대학교,본교,사립,2547.0,23824.5
2009,고려대학교,본교,사립,8296.9,105188.5
2009,고려사이버대학교,본교,사립,0.0,825.0
