기준년도,학교명,본분교명,졸업생_진로_성과
2011,한국산업기술대학교,본교,77.0
2011,한국산업기술대학교(산업대),본교,84.1
2011,한국성서대학교,본교,72.5
2011,한국성서대학교,본교,64.9
2011,한국외국어대학교,본교,72.6
2011,한국외국어대학교,본교,65.3
2011,한국항공대학교,본교,82.8
2011,한국항공대학교,본교,76.5
2011,한남대학교,본교,64.2
2011,한남대학교,본교,50.2
2011,한동대학교,본교,72.5
2011,한동대학교,본교,65.2
2011,한라대학교,본교,61.9
2011,한라대학교,본교,59.2
2011,한려대학교(산업대),본교,82.0
2011,한려대학교(산업대),본교,78.1
2011,한림대학교,본교,67.1
2011,한림대학교,본교,57.6
2011,한민학교,본교,66.7
2011,한민학교,본교,51.6
2011,한북대학교,본교,67.3
2011,한북대학교,본교,65.3
2011,한서대학교,본교,70.3
2011,한서대학교,본교,56.9
2011,한성대학교,본교,65.3
2011,한성대학교,본교,50.8
2011,한세대학교,본교,67.7
2011,한세대학교,본교,55.1
2011,한신대학교,본교,66.6
2011,한신대학교,본교,54.6
2011,한양대학교,본교,76.7
2011,한양대학교,본교,70.2
2011,한일장신대학교,본교,59.8
2011,한일장신대학교,본교,45.1
2011,한중대학교,본교,79.6
2011,한중대학교,본교,73.5
2011,협성대학교,본교,67.7
2011,협성대학교,본교,52.2
2011,호남대학교,본교,65.6
2011,호남대학교,본교,60.7
2011,호남신학대학교,본교,61.7
2011,호남신학대학교,본교,71.6
2011,호서대학교,본교,69.4
2011,호서대학교,본교,57.4
2011,호원대학교,본교,72.3
2011,호원대학교,본교,61.1
2011,홍익대학교,본교,73.1
2011,홍익대학교,본교,64.8
2012,가야대학교,본교,100.0
2012,가야대학교,본교,0.0
2012,가천대학교,본교,69.4
2012,가천대학교,본교,52.9
2012,가천의과학대학교,본교,74.2
2012,가천의과학대학교,본교,58.5
2012,가톨릭대학교,본교,63.0
2012,가톨릭대학교,본교,57.2
2012,감리교신학대학교,본교,100.0
2012,감리교신학대학교,본교,100.0
2012,강남대학교,본교,64.6
2012,강남대학교,본교,55.1
