기준년도,학교명,캠퍼스구분,학교종류,설립구분,지역,재학생수,기숙사실수,기숙사수용인원,기숙사지원자수,기숙사경쟁률,기숙사수용률
2023,추계예술대학교,본교,대학교,사립,서울,1319.0,69,174,63.0,0.4,13.2
2023,한국성서대학교,본교,대학교,사립,서울,1013.0,42,168,130.0,0.8,16.6
2023,한국외국어대학교,본교,대학교,사립,서울,18381.0,1635,3416,5716.0,1.7,18.6
2023,한성대학교,본교,대학교,사립,서울,6892.0,339,839,788.0,0.9,12.2
2023,한양대학교,본교,대학교,사립,서울,21158.0,1039,2358,3409.0,1.4,11.1
2023,홍익대학교,본교,대학교,사립,서울,14232.0,827,1847,2951.0,1.6,13.0
2024,감리교신학대학교,본교,대학교,사립,서울,1205.0,150,300,254.0,0.8,24.9
2024,강서대학교,본교,대학교,사립,서울,1778.0,92,208,0.0,0.0,11.7
2024,건국대학교,본교,대학교,사립,서울,17649.0,1728,3309,4606.0,1.4,18.7
2024,경희대학교,본교,대학교,사립,서울,28439.0,2559,4966,7526.0,1.5,17.5
2024,고려대학교,본교,대학교,사립,서울,26955.0,1584,3283,4665.0,1.4,12.2
2024,광운대학교,본교,대학교,사립,서울,8683.0,517,1069,1377.0,1.3,12.3
2024,국민대학교,본교,대학교,사립,서울,15800.0,778,2131,4443.0,2.1,13.5
2024,덕성여자대학교,본교,대학교,사립,서울,5552.0,465,848,1419.0,1.7,15.3
2024,동국대학교,본교,대학교,사립,서울,15823.0,871,2221,2961.0,1.3,14.0
2024,동덕여자대학교,본교,대학교,사립,서울,7172.0,203,798,622.0,0.8,11.1
2024,삼육대학교,본교,대학교,사립,서울,5841.0,508,1352,1155.0,0.9,23.1
2024,상명대학교,본교,대학교,사립,서울,6743.0,202,609,658.0,1.1,9.0
2024,서강대학교,본교,대학교,사립,서울,10739.0,549,1268,1935.0,1.5,11.8
2024,서경대학교,본교,대학교,사립,서울,6430.0,192,712,716.0,1.0,11.1
2024,서울기독대학교,본교,대학교,사립,서울,472.0,22,66,18.0,0.3,14.0
2024,서울여자대학교,본교,대학교,사립,서울,7418.0,329,845,1509.0,1.8,11.4
2024,서울한영대학교,본교,대학교,사립,서울,682.0,24,108,21.0,0.2,15.8
2024,성공회대학교,본교,대학교,사립,서울,2101.0,223,444,523.0,1.2,21.1
2024,성균관대학교,본교,대학교,사립,서울,25323.0,2710,5218,7329.0,1.4,20.6
2024,성신여자대학교,본교,대학교,사립,서울,9664.0,452,1021,1540.0,1.5,10.6
2024,세종대학교,본교,대학교,사립,서울,14464.0,648,1600,2346.0,1.5,11.1
2024,숙명여자대학교,본교,대학교,사립,서울,10820.0,546,1286,1279.0,1.0,11.9
2024,숭실대학교,본교,대학교,사립,서울,15769.0,822,1736,2763.0,1.6,11.0
2024,연세대학교,본교,대학교,사립,서울,28436.0,4242,10012,11263.0,1.1,35.2
2024,이화여자대학교,본교,대학교,사립,서울,19993.0,2479,4364,6693.0,1.5,21.8
2024,장로회신학대학교,본교,대학교,사립,서울,1984.0,177,642,611.0,1.0,32.4
2024,중앙대학교,본교,대학교,사립,서울,20864.0,1309,2706,5222.0,1.9,13.0
2024,총신대학교,본교,대학교,사립,서울,2775.0,385,1327,1091.0,0.8,47.8
2024,추계예술대학교,본교,대학교,사립,서울,1250.0,68,182,64.0,0.4,14.6
2024,한국성서대학교,본교,대학교,사립,서울,979.0,42,168,153.0,0.9,17.2
2024,한국외국어대학교,본교,대학교,사립,서울,18516.0,1638,3420,5357.0,1.6,18.5
2024,한성대학교,본교,대학교,사립,서울,6903.0,291,717,783.0,1.1,10.4
2024,한양대학교,본교,대학교,사립,서울,21111.0,1041,2363,3693.0,1.6,11.2
2024,홍익대학교,본교,대학교,사립,서울,13914.0,825,1857,2955.0,1.6,13.3
2025,감리교신학대학교,본교,대학교,사립,서울,1207.0,140,280,244.0,0.9,23.2
2025,강서대학교,본교,대학교,사립,서울,1856.0,92,208,103.0,0.5,11.2
