기준년도,학교명,부담율
2015,호서대학교,2.6
2015,호원대학교,48.1
2015,홍익대학교,14.6
2015,화신사이버대학교,46.5
2016,가야대학교(김해),24.9
2016,가천대학교,63.3
2016,가톨릭관동대학교,17.5
2016,가톨릭대학교,100.8
2016,감리교신학대학교,101.0
2016,강남대학교,25.1
2016,강서대학교,32.1
2016,건국대학교,71.5
2016,건양대학교,100.1
2016,건양사이버대학교,100.0
2016,경기대학교,12.2
2016,경남대학교,24.3
2016,경동대학교,100.0
2016,경성대학교,4.7
2016,경운대학교,15.0
2016,경일대학교,5.0
2016,경주대학교,15.3
2016,경희대학교,62.2
2016,경희사이버대학교,45.6
2016,계명대학교,58.0
2016,고려대학교,59.7
2016,고려사이버대학교,51.5
2016,고신대학교,92.0
2016,광신대학교,100.7
2016,광운대학교,0.0
2016,광주가톨릭대학교,100.0
2016,광주대학교,5.9
2016,광주여자대학교,26.8
2016,국민대학교,64.4
2016,국제사이버대학교,0.0
2016,극동대학교,10.2
2016,글로벌사이버대학교,0.0
2016,금강대학교,100.0
2016,김천대학교,11.5
2016,꽃동네대학교,107.4
2016,나사렛대학교,15.6
2016,남부대학교,35.8
2016,남서울대학교,29.0
2016,단국대학교,62.4
2016,대구가톨릭대학교,68.1
2016,대구대학교,0.9
2016,대구사이버대학교,0.0
2016,대구예술대학교,1.6
2016,대구외국어대학교,0.0
2016,대구한의대학교,6.3
2016,대신대학교,116.3
2016,대전가톨릭대학교,100.0
2016,대전대학교,83.7
2016,대전신학대학교,100.0
2016,대진대학교,100.1
2016,덕성여자대학교,100.2
2016,동국대학교,67.7
2016,동덕여자대학교,14.4
2016,동명대학교,6.9
2016,동서대학교,11.5
2016,동신대학교,2.7
2016,동아대학교,25.3
2016,동양대학교,5.1
2016,동의대학교,0.6
2016,디지털서울문화예술대학교,0.0
2016,루터대학교,104.8
2016,명지대학교,0.2
2016,목원대학교,0.0
2016,목포가톨릭대학교,65.3
2016,배재대학교,11.9
2016,백석대학교,21.6
2016,부산가톨릭대학교,124.9
2016,부산디지털대학교,52.2
2016,부산외국어대학교,6.9
2016,부산장신대학교,64.7
2016,사이버한국외국어대학교,24.0
2016,삼육대학교,66.3
2016,상명대학교,12.8
2016,상지대학교,0.0
2016,서강대학교,21.6
2016,서경대학교,62.0
2016,서울기독대학교,92.3
2016,서울디지털대학교,11.9
2016,서울사이버대학교,106.3
2016,서울신학대학교,100.1
2016,서울여자대학교,2.7
2016,서울장신대학교,52.7
2016,서울한영대학교,100.0
2016,서원대학교,9.9
2016,선문대학교,97.8
2016,성결대학교,8.1
2016,성공회대학교,3.5
2016,성균관대학교,100.0
2016,성신여자대학교,1.8
2016,세명대학교,42.5
2016,세종대학교,10.0
2016,세종사이버대학교,22.0
2016,세한대학교,18.0
2016,송원대학교,65.7
2016,수원가톨릭대학교,100.0
2016,수원대학교,4.5
2016,숙명여자대학교,0.0
2016,순복음총회신학교,101.9
2016,순천향대학교,100.1
2016,숭실대학교,19.9
2016,숭실사이버대학교,5.2
2016,신경대학교,29.4
2016,신라대학교,18.5
2016,신한대학교,0.0
2016,아세아연합신학대학교,39.8
2016,아주대학교,78.0
2016,안양대학교,18.9
