기준년도,학교명,평가주기,설립구분,지역,통합지표값,원자료지표값,재계산지표값,분자,분모,단위,원본파일명,직원1인당학생수
2018,성신여자대학교,3,사립,서울,37.65152,37.65151,37.65152,9940.0,264.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,37.65152
2018,세종대학교,3,사립,서울,86.20606,86.20606,86.20606,14224.0,165.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,86.20606
2018,숙명여자대학교,3,사립,서울,37.81957,37.81957,37.81957,12367.0,327.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,37.81957
2018,숭실대학교,3,사립,서울,59.40149,59.40148,59.40149,15979.0,269.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,59.40149
2018,연세대학교,3,사립,서울,34.5658,34.5658,34.5658,30729.0,889.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,34.5658
2018,이화여자대학교,3,사립,서울,39.69853,39.69852,39.69853,21596.0,544.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,39.69853
2018,장로회신학대학교,3,사립,서울,48.37778,48.37777,48.37778,2177.0,45.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,48.37778
2018,중앙대학교,3,사립,서울,46.34824,46.34824,46.34824,29014.0,626.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,46.34824
2018,총신대학교,3,사립,서울,34.12069,34.12068,34.12069,3958.0,116.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,34.12069
2018,추계예술대학교,3,사립,서울,32.07317,32.07317,32.07317,1315.0,41.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,32.07317
2018,한국성서대학교,3,사립,서울,20.49206,20.49206,20.49206,1291.0,63.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,20.49206
2018,한국외국어대학교,3,사립,서울,58.93195,58.93195,58.93195,19919.0,338.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,58.93195
